testId;confId;branch S/L;CfxOK;PathLength;PathDist;ExpectedRatio;RatioPath;RatioRot;FoundBranch;RotLength;RotDist
33;5;S;TRUE;1.32092;0.00253686;0.65;0.637086;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.0046487;0.65;999;0.640042;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00269057;0.66;0.646984;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.0048545;0.66;999;0.650042;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00277693;0.67;0.65691;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.0049885;0.67;999;0.660042;S;13.2907;0
33;5;S;TRUE;1.32092;0.0028589;0.68;0.666887;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00506263;0.68;999;0.670042;S;13.2907;0
33;5;S;TRUE;1.32092;0.00290094;0.69;0.676903;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.0050773;0.69;999;0.680043;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00301368;0.7;0.68687;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00517273;0.7;999;0.690043;S;13.2907;0
33;5;S;TRUE;1.32092;0.00311773;0.71;0.696808;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00526658;0.71;999;0.700044;S;13.2907;0
33;5;S;TRUE;1.32092;0.00321294;0.72;0.70684;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00528089;0.72;999;0.710044;S;13.2907;0
33;5;S;TRUE;1.32092;0.0031943;0.73;0.716808;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00531832;0.73;999;0.720044;S;13.2907;0
33;5;S;TRUE;1.32092;0.00325728;0.74;0.726707;999;S;13.2908;0.068528
33;5;S;TRUE;1.32092;0.0054789;0.74;999;0.730044;S;13.2907;0
33;5;S;TRUE;1.32092;0.0033165;0.75;0.736687;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00553339;0.75;999;0.740045;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00333191;0.76;0.746773;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00546086;0.76;999;0.750045;S;13.2907;0
33;5;S;TRUE;1.32092;0.00352663;0.77;0.756678;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00569527;0.77;999;0.760045;S;13.2907;0
33;5;S;TRUE;1.32092;0.00350836;0.78;0.766605;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00576485;0.78;999;0.770046;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00354191;0.79;0.776656;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00569306;0.79;999;0.780046;S;13.2907;0
33;5;S;TRUE;1.32092;0.00357333;0.8;0.786655;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00571714;0.8;999;0.790046;S;13.2907;0
33;5;S;TRUE;1.32092;0.00362045;0.81;0.796614;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00577744;0.81;999;0.800047;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00370006;0.82;0.806636;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00579724;0.82;999;0.810046;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00376209;0.83;0.816561;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.005934;0.83;999;0.820047;S;13.2907;0
33;5;S;TRUE;1.32092;0.00391875;0.84;0.826583;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00600431;0.84;999;0.830047;S;13.2907;0
33;5;S;TRUE;1.32092;0.00384909;0.85;0.836546;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00601096;0.85;999;0.840048;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00395082;0.86;0.846438;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00620311;0.86;999;0.850048;S;13.2907;0
33;5;S;TRUE;1.32092;0.00400004;0.87;0.85654;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.0061379;0.87;999;0.860048;S;13.2907;0
33;5;S;TRUE;1.32092;0.00404171;0.88;0.866499;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00616463;0.88;999;0.870048;S;13.2907;0.0559529
33;5;S;TRUE;1.32092;0.00419103;0.89;0.876443;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.0063246;0.89;999;0.880049;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00419103;0.9;0.886452;999;S;13.2908;0.068528
33;5;S;TRUE;1.32092;0.00632355;0.9;999;0.890049;S;13.2907;0
33;5;S;TRUE;1.32092;0.00424008;0.91;0.896411;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00640644;0.91;999;0.900049;S;13.2907;0
33;5;S;TRUE;1.32092;0.00434423;0.92;0.906273;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00662618;0.92;999;0.910049;S;13.2907;0
33;5;S;TRUE;1.32092;0.00436263;0.93;0.916392;999;S;13.2908;0.068528
33;5;S;TRUE;1.32092;0.00648843;0.93;999;0.920049;S;13.2907;0
33;5;S;TRUE;1.32092;0.00431325;0.94;0.926395;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00648843;0.94;999;0.93005;S;13.2907;0
33;5;S;TRUE;1.32092;0.00441356;0.95;0.93628;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00665425;0.95;999;0.94005;S;13.2907;0.0395647
33;5;S;TRUE;1.32092;0.00446937;0.96;0.946301;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00667758;0.96;999;0.95005;S;13.2907;0
33;5;S;TRUE;1.32092;0.00457489;0.97;0.956279;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00672982;0.97;999;0.960051;S;13.2907;0
33;5;S;TRUE;1.32092;0.00458153;0.98;0.966288;999;S;13.2908;0.068528
33;5;S;TRUE;1.32092;0.00672982;0.98;999;0.97005;S;13.2907;0
33;5;S;TRUE;1.32092;0.0046619;0.99;0.976192;999;S;13.2908;0.0559529
33;5;S;TRUE;1.32092;0.00689928;0.99;999;0.980051;S;13.2907;0
33;5;S;TRUE;1.32092;0.0046918;1;0.986264;999;S;13.2908;0.0395647
33;5;S;TRUE;1.32092;0.00686776;1;999;0.990051;S;13.2907;0
34;6;S;TRUE;1.53139;0.0516067;0.01;0.0161303;999;S;9.37251;0.148037
34;6;S;TRUE;1.53139;0.0566621;0.01;999;0.000931954;S;9.37251;0
34;6;S;TRUE;1.53139;0.0516318;0.02;0.0260387;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0566281;0.02;999;0.0109264;S;9.37251;0
34;6;S;TRUE;1.53139;0.0518552;0.03;0.0361567;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.056824;0.03;999;0.0209197;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0519004;0.04;0.0460718;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0568097;0.04;999;0.0309153;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0520666;0.05;0.0560394;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0569699;0.05;999;0.0409092;S;9.37251;0
34;6;S;TRUE;1.53139;0.0520484;0.06;0.0659327;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0568856;0.06;999;0.0509017;S;9.37251;0
34;6;S;TRUE;1.53139;0.0520017;0.07;0.0759903;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0568651;0.07;999;0.0608966;S;9.37251;0
34;6;S;TRUE;1.53139;0.0518978;0.08;0.0858909;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0567944;0.08;999;0.0708912;S;9.37251;0
34;6;S;TRUE;1.53139;0.0519085;0.09;0.0959681;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0568519;0.09;999;0.080884;S;9.37251;0
34;6;S;TRUE;1.53139;0.0519327;0.1;0.105877;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0568147;0.1;999;0.0908777;S;9.37251;0
34;6;S;TRUE;1.53139;0.0520184;0.11;0.115992;999;S;9.37251;0.148037
34;6;S;TRUE;1.53139;0.0569788;0.11;999;0.100871;S;9.37251;0
34;6;S;TRUE;1.53139;0.0518934;0.12;0.125843;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0567418;0.12;999;0.110865;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0519158;0.13;0.135926;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0568082;0.13;999;0.120859;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0517825;0.14;0.145775;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0565672;0.14;999;0.130853;S;9.37251;0
34;6;S;TRUE;1.53139;0.0517855;0.15;0.155851;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0566059;0.15;999;0.140845;S;9.37251;0
34;6;S;TRUE;1.53139;0.0515712;0.16;0.165707;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0563858;0.16;999;0.15084;S;9.37251;0
34;6;S;TRUE;1.53139;0.0516688;0.17;0.175823;999;S;9.37251;0.148037
34;6;S;TRUE;1.53139;0.0565656;0.17;999;0.160832;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0517285;0.18;0.185757;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0565978;0.18;999;0.170825;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0515937;0.19;0.195599;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0563343;0.19;999;0.180819;S;9.37251;0
34;6;S;TRUE;1.53139;0.0514745;0.2;0.205631;999;S;9.37251;0.148037
34;6;S;TRUE;1.53139;0.0562238;0.2;999;0.190812;S;9.37251;0
34;6;S;TRUE;1.53139;0.0513249;0.21;0.215512;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0560897;0.21;999;0.200805;S;9.37251;0.0559529
34;6;S;TRUE;1.53139;0.0512805;0.22;0.225573;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0560756;0.22;999;0.210798;S;9.37251;0.0559529
34;6;S;TRUE;1.53139;0.0511589;0.23;0.235428;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0558512;0.23;999;0.220792;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0511064;0.24;0.245481;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0558115;0.24;999;0.230784;S;9.37251;0
34;6;S;TRUE;1.53139;0.0508614;0.25;0.255324;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0555579;0.25;999;0.240777;S;9.37251;0
34;6;S;TRUE;1.53139;0.0507432;0.26;0.265353;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0554353;0.26;999;0.25077;S;9.37251;0
34;6;S;TRUE;1.53139;0.0507054;0.27;0.275242;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0553158;0.27;999;0.260763;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.050667;0.28;0.285136;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0552141;0.28;999;0.270757;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0502327;0.29;0.295077;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0547926;0.29;999;0.280751;S;9.37251;0
34;6;S;TRUE;1.53139;0.050267;0.3;0.304999;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.054791;0.3;999;0.290742;S;9.37251;0
34;6;S;TRUE;1.53139;0.0499711;0.31;0.314829;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0544666;0.31;999;0.300734;S;9.37251;0
34;6;S;TRUE;1.53139;0.0497698;0.32;0.324832;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0542441;0.32;999;0.310728;S;9.37251;0
34;6;S;TRUE;1.53139;0.0495143;0.33;0.334677;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0539682;0.33;999;0.32072;S;9.37251;0
34;6;S;TRUE;1.53139;0.0493043;0.34;0.344674;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0537336;0.34;999;0.330713;S;9.37251;0
34;6;S;TRUE;1.53139;0.0490232;0.35;0.354508;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0534263;0.35;999;0.340704;S;9.37251;0
34;6;S;TRUE;1.53139;0.0488789;0.36;0.364364;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0531835;0.36;999;0.350697;S;9.37251;0
34;6;S;TRUE;1.53139;0.0485135;0.37;0.37434;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0528674;0.37;999;0.360689;S;9.37251;0
34;6;S;TRUE;1.53139;0.0482888;0.38;0.384162;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0525073;0.38;999;0.370682;S;9.37251;0
34;6;S;TRUE;1.53139;0.0479719;0.39;0.394158;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0522649;0.39;999;0.380675;S;9.37251;0
34;6;S;TRUE;1.53139;0.0477202;0.4;0.403974;999;S;9.37251;0.118694
34;6;S;TRUE;1.53139;0.051877;0.4;999;0.390668;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0483841;0.41;0.414458;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.052894;0.41;999;0.4005;S;9.37251;0
34;6;S;TRUE;1.53139;0.0484655;0.42;0.424398;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0529469;0.42;999;0.410502;S;9.37251;0
34;6;S;TRUE;1.53139;0.0486043;0.43;0.434536;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.053178;0.43;999;0.420503;S;9.37251;0
34;6;S;TRUE;1.53139;0.0531487;0.44;0.445795;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0580421;0.44;999;0.430537;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0532976;0.45;0.455944;999;S;9.37251;0.142652
34;6;S;TRUE;1.53139;0.0582977;0.45;999;0.440539;S;9.37251;0
34;6;S;TRUE;1.53139;0.0536207;0.46;0.465934;999;S;9.37251;0.148037
34;6;S;TRUE;1.53139;0.0585293;0.46;999;0.450541;S;9.37251;0
34;6;S;TRUE;1.53139;0.0536924;0.47;0.476044;999;S;9.37251;0.148037
34;6;S;TRUE;1.53139;0.0586724;0.47;999;0.460543;S;9.37251;0
34;6;S;TRUE;1.53139;0.0455999;0.48;0.48346;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.049832;0.48;999;0.470305;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0457004;0.49;0.493582;999;S;9.37251;0.118694
34;6;S;TRUE;1.53139;0.0500111;0.49;999;0.480306;S;9.37251;0
34;6;S;TRUE;1.53139;0.0457858;0.5;0.503522;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.050063;0.5;999;0.490308;S;9.37251;0
34;6;S;TRUE;1.53139;0.046003;0.51;0.513695;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0504059;0.51;999;0.500308;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0463567;0.52;0.523701;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.050686;0.52;999;0.510309;S;9.37251;0
