testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
60;6;0;4;0;0;TRUE;FALSE;TRUE;FALSE;90.0002;-4.12975;4.12479;270.001;51.4909;90.001;1;3;1;0;90.0009;-4.12915;4.12488;270.001;51.4908;90.0009;1;3;1;0;90.0009;-4.12915;4.12488;270.001;51.4908;90.0009
64;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;-44.9995;-17.7451;14.8924;-225;7.30063;135;-1;-3;1;0;-44.9997;-17.7453;14.8924;-225;7.30064;135;-1;-3;1;0;-44.9997;-17.7453;14.8924;-225;7.30064;135
64;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-44.9997;-17.7453;14.8924;135;7.30064;135;-1;1;1;0;-44.9997;-17.7453;14.8924;135;7.30064;135;-1;1;1;0;-44.9997;-17.7453;14.8924;135;7.30064;135
68;7;0;-4;4;0;TRUE;FALSE;TRUE;FALSE;89.9993;-8.52099;30.5076;-224.999;29.2502;315.001;0;-3;3;0;90.0006;-8.52015;30.5081;-224.999;29.2502;315.001;1;-3;3;0;90.0006;-8.52015;30.5081;-224.999;29.2502;315.001
72;2;0;0;-4;0;FALSE;TRUE;FALSE;FALSE;90.0008;-25.6379;-26.8092;-134.999;32.7842;-269.999;1;-2;-3;0;90.0007;-25.6374;-26.809;-134.999;32.7842;-269.999;1;-2;-3;0;9E+9;9E+9;9E+9;9E+9;9E+9;9E+9
72;5;0;0;0;0;TRUE;FALSE;TRUE;TRUE;90.0015;-25.6381;-26.8092;-134.999;32.7843;90.0006;1;-2;1;0;90.0007;-25.6374;-26.809;-134.999;32.7842;90.0007;1;-2;1;0;90.0007;-25.6374;-26.809;-134.999;32.7842;90.0007
73;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;45.0016;-2.93242;-5.70671;90.0012;7.44168;-179.999;0;1;-2;0;45.0008;-2.93161;-5.70633;90.0009;7.44163;-179.999;0;1;-2;0;45.0008;-2.93161;-5.70633;90.0009;7.44163;-179.999
75;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;0.000969528;-44.6884;35.5905;45.0001;20.1624;0.000280587;0;0;0;0;0.000224727;-44.6883;35.5904;45.0002;20.1624;0.000200761;0;0;0;0;0.000224727;-44.6883;35.5904;45.0002;20.1624;0.000200761
83;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;0.000541194;37.1837;-75.0805;180;28.2761;-270;0;2;-3;0;0.000194163;37.1843;-75.0804;180;28.276;-270;0;2;-3;0;0.000194136;37.1843;-75.0804;180;28.276;-270
87;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;-90.001;49.9792;32.8411;-180.001;47.217;-90.0009;-2;-3;-2;0;-90.0007;49.9802;32.841;-180.001;47.217;-90.0007;-2;-3;-2;0;-90.0007;49.9802;32.841;-180.001;47.217;-90.0007
89;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;44.9983;37.59;-3.81379;44.9991;55.3288;224.999;0;0;2;0;44.9991;37.5909;-3.81389;44.9991;55.3288;224.999;0;0;2;0;44.9991;37.5909;-3.81389;44.9991;55.3288;224.999
90;7;0;-4;4;0;FALSE;TRUE;FALSE;TRUE;0.000834504;-34.9396;-20.5244;-135.001;47.9696;314.999;0;-2;3;0;-0.000648657;-34.9394;-20.5246;-135.001;47.9696;314.999;-1;-2;3;0;-0.000648473;-34.9394;-20.5246;-135.001;47.9696;314.999
92;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;89.9984;37.7253;-57.2987;-135;25.4947;90.0005;0;-2;1;0;90.0001;37.7264;-57.2986;-135;25.4945;90.0001;1;-2;1;0;90.0001;37.7264;-57.2986;-135;25.4945;90.0001
96;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-90.001;18.5693;-45.0987;-225.001;2.80526;-90.0009;-2;-3;-2;0;-90.001;18.5693;-45.0987;-225.001;2.80526;-90.0009;-2;-3;-2;0;-90.001;18.5693;-45.0987;-225.001;2.80526;-90.001
96;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;-90.0014;18.5691;-45.0986;134.999;2.80529;-90.0009;-2;1;-2;0;-90.001;18.5693;-45.0987;134.999;2.80526;-90.0009;-2;1;-2;0;-90.001;18.5693;-45.0987;134.999;2.80526;-90.001
97;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-45.001;59.3762;-52.7045;90.001;33.3885;135.001;-1;1;1;0;-44.9993;59.3774;-52.7043;90.0007;33.3885;135.001;-1;1;1;0;-44.9993;59.3774;-52.7043;90.0007;33.3885;135.001
100;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;90.0005;-22.8321;-23.5954;-89.9995;18.811;-225;1;-1;-3;0;90.0005;-22.8321;-23.5954;-89.9995;18.811;-225;1;-1;-3;0;90.0005;-22.8321;-23.5954;-89.9996;18.811;-225
