testId;confId;branch S/L;CfxOK;PathLenth;PathDist;RatioPath;RatioRot;FoundBranch;RotLength;Rotdist
1;2;S;TRUE;2636.21;0.130215;0.199648;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0527707;0;0.19999;S;153.474;0
1;2;S;TRUE;2636.21;0.123813;0.209628;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0611252;0;0.20999;S;153.474;0
1;2;S;TRUE;2636.21;0.1073;0.219655;0;S;153.474;0
1;2;S;TRUE;2636.21;0.049631;0;0.219992;S;153.474;0
1;2;S;TRUE;2636.21;0.0923546;0.229679;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0409851;0;0.229994;S;153.474;0
1;2;S;TRUE;2636.21;0.0777385;0.239701;0;S;153.474;0
1;2;S;TRUE;2636.21;0.034861;0;0.239996;S;153.474;0
1;2;S;TRUE;2636.21;0.0662595;0.249725;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0265702;0;0.249997;S;153.474;0
1;2;S;TRUE;2636.21;0.0553411;0.259749;0;S;153.474;0
1;2;S;TRUE;2636.21;0.018917;0;0.259998;S;153.474;0
1;2;S;TRUE;2636.21;0.0448913;0.269771;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0146088;0;0.269999;S;153.474;0
1;2;S;TRUE;2636.21;0.0357619;0.279792;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0111613;0;0.279999;S;153.474;0
1;2;S;TRUE;2636.21;0.0469554;0.289721;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.02197;0;0.289998;S;153.474;0
1;2;S;TRUE;2636.21;0.0387408;0.299747;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0157752;0;0.299999;S;153.474;0
1;2;S;TRUE;2636.21;0.0219642;0.309789;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0102547;0;0.309999;S;153.474;0
1;2;S;TRUE;2636.21;0.0121748;0.319832;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00433145;0;0.32;S;153.474;0
1;2;S;TRUE;2636.21;0.0100862;0.329819;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00646627;0;0.33;S;153.474;0
1;2;S;TRUE;2636.21;0.0152627;0.339803;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0103961;0;0.339999;S;153.474;0
1;2;S;TRUE;2636.21;0.0208111;0.349788;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0135496;0;0.349999;S;153.474;0
1;2;S;TRUE;2636.21;0.0220153;0.359854;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00384085;0;0.36;S;153.474;0
1;2;S;TRUE;2636.21;0.0268017;0.369842;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00518224;0;0.37;S;153.474;0
1;2;S;TRUE;2636.21;0.0355361;0.379829;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00786288;0;0.38;S;153.474;0
1;2;S;TRUE;2636.21;0.0473298;0.389814;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0121213;0;0.39;S;153.474;0
1;2;S;TRUE;2636.21;0.0406876;0.399872;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00339445;0;0.4;S;153.474;0
1;2;S;TRUE;2636.21;0.046757;0.409862;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00426024;0;0.41;S;153.474;0
1;2;S;TRUE;2636.21;0.054419;0.419851;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00588095;0;0.42;S;153.474;0
1;2;S;TRUE;2636.21;0.0653245;0.42984;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00886503;0;0.43;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0774416;0.439828;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0124643;0;0.44;S;153.474;0
1;2;S;TRUE;2636.21;0.061699;0.449882;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00328684;0;0.45;S;153.474;0
1;2;S;TRUE;2636.21;0.0683243;0.459875;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00378418;0;0.46;S;153.474;0
1;2;S;TRUE;2636.21;0.0661469;0.469894;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00266675;0;0.47;S;153.474;0
1;2;S;TRUE;2636.21;0.0713606;0.479891;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00294807;0;0.48;S;153.474;0
1;2;S;TRUE;2636.21;0.0766953;0.489889;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00327606;0;0.49;S;153.474;0
1;2;S;TRUE;2636.21;0.0820812;0.499888;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00361501;0;0.5;S;153.474;0
1;2;S;TRUE;2636.21;0.0871788;0.509886;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00386888;0;0.51;S;153.474;0
1;2;S;TRUE;2636.21;0.0923839;0.519885;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00412338;0;0.52;S;153.474;0
1;2;S;TRUE;2636.21;0.0978098;0.529884;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00429247;0;0.53;S;153.474;0
1;2;S;TRUE;2636.21;0.104309;0.539882;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00471909;0;0.54;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.110781;0.549879;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0050604;0;0.55;S;153.474;0
1;2;S;TRUE;2636.21;0.117311;0.559878;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0055676;0;0.56;S;153.474;0
1;2;S;TRUE;2636.21;0.123313;0.569877;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0060032;0;0.57;S;153.474;0
1;2;S;TRUE;2636.21;0.128597;0.579877;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0062187;0;0.58;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.131253;0.589879;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00582398;0;0.59;S;153.474;0
1;2;S;TRUE;2636.21;0.135815;0.59988;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00542115;0;0.6;S;153.474;0
1;2;S;TRUE;2636.21;0.139016;0.609882;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00524654;0;0.61;S;153.474;0
1;2;S;TRUE;2636.21;0.141294;0.619885;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00477949;0;0.62;S;153.474;0
1;2;S;TRUE;2636.21;0.141772;0.629889;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00415398;0;0.63;S;153.474;0
1;2;S;TRUE;2636.21;0.145373;0.639891;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00413465;0;0.64;S;153.474;0
1;2;S;TRUE;2636.21;0.149067;0.649893;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00392338;0;0.65;S;153.474;0
1;2;S;TRUE;2636.21;0.156207;0.659896;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00382141;0;0.66;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.163687;0.669898;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00330718;0;0.67;S;153.474;0
1;2;S;TRUE;2636.21;0.168985;0.679901;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00312772;0;0.68;S;153.474;0
1;2;S;TRUE;2636.21;0.173111;0.689905;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00248151;0;0.69;S;153.474;0
1;2;S;TRUE;2636.21;0.175971;0.699908;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00215014;0;0.7;S;153.474;0
1;2;S;TRUE;2636.21;0.20861;0.709892;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0037446;0;0.71;S;153.474;0
1;2;S;TRUE;2636.21;0.201223;0.7199;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00290158;0;0.72;S;153.474;0
1;2;S;TRUE;2636.21;0.191203;0.729909;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00158221;0;0.73;S;153.474;0
1;2;S;TRUE;2636.21;0.181704;0.739917;0;S;153.474;0
1;2;S;TRUE;2636.21;0.000865323;0;0.74;S;153.474;0
1;2;S;TRUE;2636.21;0.172261;0.749924;0;S;153.474;0
1;2;S;TRUE;2636.21;0.000657369;0;0.75;S;153.474;0
1;2;S;TRUE;2636.21;0.162826;0.75993;0;S;153.474;0
1;2;S;TRUE;2636.21;0.000305176;0;0.76;S;153.474;0
1;2;S;TRUE;2636.21;0.255022;0.769891;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00284976;0;0.77;S;153.474;0
1;2;S;TRUE;2636.21;0.256593;0.779893;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00269956;0;0.78;S;153.474;0
1;2;S;TRUE;2636.21;0.292426;0.789877;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00522804;0;0.790001;S;153.474;0
1;2;S;TRUE;2636.21;0.22867;0.799911;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00138107;0;0.8;S;153.474;0
